,序号,商品,销量,标签,二级类
0,1,100g*5瓶益力多,42,滞销,乳制品
1,2,13g雀巢咖啡1+2特浓,3,滞销,咖啡
2,3,145ml旺仔牛奶盒装,172,滞销,乳制品
3,4,145ml旺仔牛奶罐装,3,滞销,乳制品
4,5,150g健能酸奶原味,35,滞销,乳制品
5,6,180ml雀巢咖啡罐装,22,滞销,咖啡
6,7,205g伊利安慕希原味,66,滞销,乳制品
7,8,205ml安慕希蓝莓味,5,滞销,乳制品
8,9,250ML东鹏特饮,27,滞销,功能饮料
9,10,250ml燕塘原味酸奶,130,滞销,乳制品
10,11,250ml燕塘甜牛奶,131,滞销,乳制品
11,12,250ml燕塘红枣牛奶,114,滞销,乳制品
12,13,250ml王老吉盒装,21,滞销,茶饮料
13,14,250ml红牛,99,滞销,功能饮料
14,15,250ml统一麦香奶茶,14,滞销,茶饮料
15,16,250ml维他原味豆奶,229,滞销,植物蛋白
16,17,250ml维他奶低糖原味,18,滞销,植物蛋白
17,18,250ml维他奶巧克力味,95,滞销,植物蛋白
18,19,250ml维他奶黑豆奶饮品,12,滞销,植物蛋白
19,20,250ml维他柠檬茶,236,滞销,茶饮料
20,21,250ml维他椰子植物蛋白饮料,6,滞销,植物蛋白
21,22,250ml维他椰子植物蛋白饮料9374,1,滞销,植物蛋白
22,23,250ml香满楼纯牛奶,2,滞销,乳制品
23,24,268ml雀巢咖啡丝滑拿铁,94,滞销,咖啡
24,25,330ml伊利畅意乳酸菌原味,93,滞销,乳制品
25,26,330ml伊利畅意乳酸菌草莓味,2,滞销,乳制品
26,27,340ml蒙牛优益C乳酸菌,5,滞销,乳制品
27,28,450ml美汁源果粒橙,87,滞销,果蔬饮料
28,29,480ml小茗同学冷泡溜溜哒茶,4,滞销,茶饮料
29,30,480ml小茗同学冷泡青柠红茶,39,滞销,茶饮料
30,31,500ML宝矿力,7,滞销,功能饮料
31,32,500ml农夫果园 (芒果+菠萝+番石榴),25,滞销,果蔬饮料
32,33,500ml加多宝,40,滞销,茶饮料
33,34,500ml康师傅冰糖雪梨,13,滞销,果蔬饮料
34,35,500ml恒大冰泉矿泉水,1,滞销,水
35,36,500ml统一冰糖雪梨,2,滞销,果蔬饮料
36,37,500ml统一阿萨姆奶茶,78,滞销,茶饮料
37,38,500ml营养快线原味,14,滞销,乳制品
38,39,600ml可口可乐,87,滞销,碳酸饮料
39,40,600ml脉动青柠,38,滞销,功能饮料
