,序号,商品,销量,标签,二级类
0,1,100g*5瓶益力多,33,滞销,乳制品
1,2,13g雀巢咖啡1+2特浓,5,滞销,咖啡
2,3,145ml旺仔牛奶盒装,127,滞销,乳制品
3,4,145ml旺仔牛奶罐装,11,滞销,乳制品
4,5,150g健能酸奶原味,37,滞销,乳制品
5,6,180ml雀巢咖啡罐装,19,滞销,咖啡
6,7,205g伊利安慕希原味,51,滞销,乳制品
7,8,205ml安慕希蓝莓味,5,滞销,乳制品
8,9,250ML东鹏特饮,20,滞销,功能饮料
9,10,250ml燕塘原味酸奶,134,滞销,乳制品
10,11,250ml燕塘甜牛奶,129,滞销,乳制品
11,12,250ml燕塘红枣牛奶,129,滞销,乳制品
12,13,250ml王老吉盒装,22,滞销,茶饮料
13,14,250ml红牛,119,滞销,功能饮料
14,15,250ml统一麦香奶茶,23,滞销,茶饮料
15,16,250ml维他原味豆奶,217,滞销,植物蛋白
16,17,250ml维他奶低糖原味,26,滞销,植物蛋白
17,18,250ml维他奶巧克力味,53,滞销,植物蛋白
18,19,250ml维他奶黑豆奶饮品,3,滞销,植物蛋白
19,20,250ml维他柠檬茶,255,滞销,茶饮料
20,21,250ml维他椰子味豆奶7716,11,滞销,植物蛋白
21,22,250ml维他椰子植物蛋白饮料,11,滞销,植物蛋白
22,23,250ml维他椰子植物蛋白饮料9374,1,滞销,植物蛋白
23,24,250ml香满楼纯牛奶,4,滞销,乳制品
24,25,268ml雀巢咖啡丝滑拿铁,95,滞销,咖啡
25,26,330ml伊利畅意乳酸菌原味,66,滞销,乳制品
26,27,330ml伊利畅意乳酸菌草莓味,2,滞销,乳制品
27,28,450ml美汁源果粒橙,61,滞销,果蔬饮料
28,29,480ml小茗同学冷泡溜溜哒茶,8,滞销,茶饮料
29,30,480ml小茗同学冷泡青柠红茶,37,滞销,茶饮料
30,31,500ML宝矿力,4,滞销,功能饮料
31,32,500ml农夫果园 (芒果+菠萝+番石榴),33,滞销,果蔬饮料
32,33,500ml加多宝,52,滞销,茶饮料
33,34,500ml康师傅冰糖雪梨,24,滞销,果蔬饮料
34,35,500ml恒大冰泉矿泉水,2,滞销,水
35,36,500ml统一冰糖雪梨,4,滞销,果蔬饮料
36,37,500ml统一阿萨姆奶茶,80,滞销,茶饮料
37,38,500ml营养快线原味,5,滞销,乳制品
38,39,600ml可口可乐,57,滞销,碳酸饮料
39,40,600ml脉动青柠,41,滞销,功能饮料
40,41,600ml雪碧,69,滞销,碳酸饮料
41,42,80g香飘飘椰果奶茶原味,16,滞销,茶饮料
42,43,80g香飘飘椰果奶茶麦香味,17,滞销,茶饮料
43,44,东鹏特饮,525,,功能饮料
44,45,乐虎,31,滞销,功能饮料
45,46,乐虎（380ml）,6,滞销,功能饮料
46,47,伊利优酸乳,258,滞销,乳制品
47,48,伊利纯牛奶,127,滞销,乳制品
48,49,优益C活菌型乳酸菌饮品,2,滞销,乳制品
49,50,健能酸奶,2,滞销,乳制品
50,51,农夫果园,7,滞销,果蔬饮料
51,52,冰糖雪梨,59,滞销,果蔬饮料
52,53,冰红茶（罐）,10,滞销,茶饮料
53,54,加多宝,10,滞销,茶饮料
