,序号,商品,销量,标签,二级类
0,1,100g*5瓶益力多,25,滞销,乳制品
1,2,145ml旺仔牛奶盒装,81,滞销,乳制品
2,3,145ml旺仔牛奶罐装,1,滞销,乳制品
3,4,150g健能酸奶原味,31,滞销,乳制品
4,5,180ml雀巢咖啡罐装,28,滞销,咖啡
5,6,205g伊利安慕希原味,33,滞销,乳制品
6,7,205ml安慕希蓝莓味,2,滞销,乳制品
7,8,250ML东鹏特饮,25,滞销,功能饮料
8,9,250ml燕塘原味酸奶,72,滞销,乳制品
9,10,250ml燕塘甜牛奶,77,滞销,乳制品
10,11,250ml燕塘红枣牛奶,64,滞销,乳制品
11,12,250ml王老吉盒装,12,滞销,茶饮料
12,13,250ml红牛,68,滞销,功能饮料
13,14,250ml统一麦香奶茶,2,滞销,茶饮料
14,15,250ml维他原味豆奶,96,滞销,植物蛋白
15,16,250ml维他奶低糖原味,9,滞销,植物蛋白
16,17,250ml维他奶巧克力味,29,滞销,植物蛋白
17,18,250ml维他奶黑豆奶饮品,3,滞销,植物蛋白
18,19,250ml维他柠檬茶,109,滞销,茶饮料
19,20,250ml维他椰子味豆奶7716,2,滞销,植物蛋白
20,21,250ml维他椰子植物蛋白饮料,2,滞销,植物蛋白
21,22,250ml维他椰子植物蛋白饮料9374,1,滞销,植物蛋白
22,23,250ml香满楼纯牛奶,1,滞销,乳制品
23,24,268ml雀巢咖啡丝滑拿铁,53,滞销,咖啡
24,25,330ml伊利畅意乳酸菌原味,44,滞销,乳制品
25,26,450ml美汁源果粒橙,25,滞销,果蔬饮料
26,27,480ml小茗同学冷泡溜溜哒茶,7,滞销,茶饮料
27,28,480ml小茗同学冷泡青柠红茶,35,滞销,茶饮料
28,29,500ML宝矿力,1,滞销,功能饮料
29,30,500ml农夫果园 (芒果+菠萝+番石榴),11,滞销,果蔬饮料
30,31,500ml加多宝,23,滞销,茶饮料
31,32,500ml康师傅冰糖雪梨,3,滞销,果蔬饮料
32,33,500ml恒大冰泉矿泉水,1,滞销,水
33,34,500ml统一冰糖雪梨,2,滞销,果蔬饮料
34,35,500ml统一阿萨姆奶茶,35,滞销,茶饮料
35,36,500ml营养快线原味,3,滞销,乳制品
36,37,600ml可口可乐,63,滞销,碳酸饮料
37,38,600ml脉动青柠,35,滞销,功能饮料
38,39,600ml雪碧,19,滞销,碳酸饮料
39,40,80g香飘飘椰果奶茶原味,10,滞销,茶饮料
40,41,80g香飘飘椰果奶茶麦香味,18,滞销,茶饮料
41,42,东鹏特饮,411,热销,功能饮料
42,43,乐虎,2,滞销,功能饮料
43,44,乐虎（380ml）,15,滞销,功能饮料
44,45,伊利优酸乳,102,滞销,乳制品
45,46,伊利纯牛奶,81,滞销,乳制品
46,47,健能酸奶,8,滞销,乳制品
47,48,农夫果园,2,滞销,果蔬饮料
48,49,冰糖雪梨,16,滞销,果蔬饮料
49,50,冰红茶（罐）,2,滞销,茶饮料
50,51,加多宝,7,滞销,茶饮料
51,52,可乐可乐,18,滞销,碳酸饮料
52,53,可乐（500ml）,2,滞销,碳酸饮料
53,54,可口可乐330ml,54,滞销,碳酸饮料
54,55,可口可乐330ml（罐）,2,滞销,碳酸饮料
55,56,可口可乐最新款,144,滞销,碳酸饮料
56,57,可口可乐（500ml）,176,正常,碳酸饮料
57,58,商品1,1,滞销,其他
58,59,商品2,2,滞销,其他
59,60,安慕希酸奶,4,滞销,乳制品
60,61,小茗同学冷泡茶（乳酸菌味）,1,滞销,茶饮料
61,62,尖叫,6,滞销,功能饮料
62,63,康师傅矿泉水,10,滞销,水
63,64,怡宝,14,滞销,水
64,65,怡宝矿泉水,4,滞销,水
65,66,怡宝纯净水,387,热销,水
66,67,旺仔牛奶,2,滞销,乳制品
67,68,旺仔牛奶145ml,1,滞销,乳制品
68,69,果粒橙,168,正常,果蔬饮料
69,70,椰树牌椰汁,7,滞销,植物蛋白
70,71,燕塘原味酸奶,6,滞销,乳制品
71,72,燕塘甜牛奶,2,滞销,乳制品
72,73,燕塘红枣牛奶,5,滞销,乳制品
73,74,王老吉（500ml）,87,滞销,茶饮料
