,序号,商品,销量,标签,二级类
0,1,100g*5瓶益力多,64,滞销,乳制品
1,2,13g雀巢咖啡1+2特浓,4,滞销,咖啡
2,3,145ml旺仔牛奶盒装,228,滞销,乳制品
3,4,145ml旺仔牛奶罐装,21,滞销,乳制品
4,5,150g健能酸奶原味,61,滞销,乳制品
5,6,180ml雀巢咖啡罐装,24,滞销,咖啡
6,7,205g伊利安慕希原味,89,滞销,乳制品
7,8,205ml安慕希蓝莓味,10,滞销,乳制品
8,9,250ML东鹏特饮,49,滞销,功能饮料
9,10,250ml燕塘原味酸奶,249,滞销,乳制品
10,11,250ml燕塘甜牛奶,232,滞销,乳制品
11,12,250ml燕塘红枣牛奶,206,滞销,乳制品
12,13,250ml王老吉盒装,20,滞销,茶饮料
13,14,250ml红牛,172,滞销,功能饮料
14,15,250ml统一麦香奶茶,44,滞销,茶饮料
15,16,250ml维他原味豆奶,391,滞销,植物蛋白
16,17,250ml维他奶低糖原味,57,滞销,植物蛋白
17,18,250ml维他奶巧克力味,138,滞销,植物蛋白
18,19,250ml维他奶黑豆奶饮品,5,滞销,植物蛋白
19,20,250ml维他柠檬茶,397,滞销,茶饮料
20,21,250ml维他椰子味豆奶7716,3,滞销,植物蛋白
21,22,250ml维他椰子植物蛋白饮料,12,滞销,植物蛋白
22,23,250ml维他椰子植物蛋白饮料9374,2,滞销,植物蛋白
23,24,268ml雀巢咖啡丝滑拿铁,197,滞销,咖啡
24,25,330ml伊利畅意乳酸菌原味,149,滞销,乳制品
25,26,330ml伊利畅意乳酸菌草莓味,3,滞销,乳制品
26,27,340ml蒙牛优益C乳酸菌,2,滞销,乳制品
27,28,450ml美汁源果粒橙,140,滞销,果蔬饮料
28,29,480ml小茗同学冷泡溜溜哒茶,16,滞销,茶饮料
29,30,480ml小茗同学冷泡青柠红茶,77,滞销,茶饮料
30,31,500ML宝矿力,7,滞销,功能饮料
31,32,500ml农夫果园 (芒果+菠萝+番石榴),63,滞销,果蔬饮料
32,33,500ml加多宝,116,滞销,茶饮料
33,34,500ml康师傅冰糖雪梨,23,滞销,果蔬饮料
34,35,500ml恒大冰泉矿泉水,9,滞销,水
35,36,500ml统一冰糖雪梨,3,滞销,果蔬饮料
36,37,500ml统一阿萨姆奶茶,158,滞销,茶饮料
37,38,500ml营养快线原味,10,滞销,乳制品
38,39,600ml可口可乐,145,滞销,碳酸饮料
39,40,600ml脉动青柠,127,滞销,功能饮料
40,41,600ml雪碧,143,滞销,碳酸饮料
41,42,80g香飘飘椰果奶茶原味,20,滞销,茶饮料
42,43,80g香飘飘椰果奶茶麦香味,11,滞销,茶饮料
43,44,东鹏特饮,709,,功能饮料
44,45,乐虎,47,滞销,功能饮料
45,46,乐虎（380ml）,2,滞销,功能饮料
46,47,伊利优酸乳,375,滞销,乳制品
47,48,伊利纯牛奶,241,滞销,乳制品
48,49,优益C活菌型乳酸菌饮品,28,滞销,乳制品
49,50,健能酸奶,27,滞销,乳制品
50,51,农夫果园,29,滞销,果蔬饮料
51,52,冰糖雪梨,143,滞销,果蔬饮料
52,53,冰红茶（罐）,2,滞销,茶饮料
53,54,加多宝,46,滞销,茶饮料
54,55,可乐可乐,71,滞销,碳酸饮料
55,56,可口可乐330ml,244,滞销,碳酸饮料
56,57,可口可乐330ml（罐）,3,滞销,碳酸饮料
57,58,可口可乐最新款,142,滞销,碳酸饮料
58,59,可口可乐（500ml）,202,滞销,碳酸饮料
59,60,商品1,3,滞销,其他
