,实际金额,实际金额,实际金额
大类,非饮料,饮料,All
支付时间,,,
2017-01-01,12.600000000000001,9.5,22.1
2017-01-02,6.0,18.0,24.0
2017-01-03,9.3,19.0,28.3
2017-01-04,15.0,12.0,27.0
2017-01-05,2.5,8.5,11.0
2017-01-06,14.0,3.5,17.5
2017-01-07,0.0,3.5,3.5
2017-01-08,95.39999999999999,64.0,159.39999999999998
2017-01-09,186.5,173.5,360.0
2017-01-10,204.0,152.0,356.00000000000006
2017-01-11,41.900000000000006,25.5,67.4
2017-01-15,3.5,4.5,8.0
2017-01-16,14.3,29.0,43.3
2017-01-17,2.0,0.0,2.0
2017-01-20,1.5,0.0,1.5
2017-01-21,7.5,0.0,7.5
2017-01-22,4.5,4.0,8.5
2017-01-23,0.0,3.0,3.0
2017-01-25,0.0,7.0,7.0
2017-01-26,9.0,6.5,15.5
2017-01-27,7.5,7.0,14.5
2017-01-28,9.5,0.0,9.5
2017-01-29,45.0,0.0,45.0
2017-01-30,77.9,124.3,202.20000000000002
2017-01-31,23.0,43.0,66.0
2017-02-01,28.0,12.5,40.5
2017-02-02,22.5,40.5,63.0
2017-02-03,0.0,3.0,3.0
2017-02-04,23.0,13.5,36.5
2017-02-05,11.5,34.5,46.0
2017-02-07,0.0,17.0,17.0
2017-02-08,0.0,8.0,8.0
2017-02-09,0.0,12.0,12.0
2017-02-10,0.0,5.5,5.5
2017-02-12,0.0,2.0,2.0
2017-02-13,0.0,4.0,4.0
2017-02-15,0.0,6.5,6.5
2017-02-16,3.0,12.0,15.0
2017-02-17,12.0,8.0,20.0
2017-02-18,0.0,23.0,23.0
2017-02-19,14.0,17.0,31.0
2017-02-20,0.0,10.0,10.0
2017-02-21,1.0,6.0,7.0
2017-02-22,0.0,15.0,15.0
2017-02-23,0.0,15.0,15.0
2017-02-24,6.0,13.5,19.5
2017-02-25,0.0,6.5,6.5
2017-02-26,3.0,0.0,3.0
2017-02-27,3.0,21.5,24.5
2017-02-28,0.0,7.0,7.0
2017-03-01,1.0,0.0,1.0
2017-03-28,4.5,66.0,70.5
2017-03-29,106.6,225.0,331.6
2017-03-30,134.2,188.3,322.50000000000006
2017-03-31,110.39999999999999,78.3,188.70000000000002
2017-04-01,74.9,97.0,171.9
2017-04-02,3.0,0.0,3.0
2017-04-03,12.0,20.5,32.5
2017-04-04,6.5,4.0,10.5
2017-04-05,7.0,10.5,17.5
2017-04-06,3.0,10.0,13.0
2017-04-07,9.5,15.5,25.0
2017-04-08,1.5,3.0,4.5
2017-04-09,15.5,11.5,27.0
2017-04-10,18.0,18.0,36.0
2017-04-11,30.0,17.5,47.5
2017-04-12,24.0,19.5,43.5
2017-04-13,33.0,51.7,84.7
2017-04-14,24.5,13.5,38.0
2017-04-15,2.5,34.3,36.8
2017-04-16,13.5,35.5,49.0
2017-04-17,45.2,42.0,87.2
2017-04-18,20.5,19.5,40.0
2017-04-19,43.0,29.0,72.0
2017-04-20,59.4,50.0,109.4
2017-04-21,77.5,38.5,116.0
2017-04-22,18.5,41.0,59.5
2017-04-23,65.0,39.0,104.0
2017-04-24,19.0,36.0,55.0
2017-04-25,51.1,29.0,80.1
2017-04-26,6.2,36.0,42.2
2017-04-27,39.9,69.8,109.7
2017-04-28,42.0,32.5,74.5
2017-04-29,62.4,70.0,132.4
2017-04-30,36.1,46.0,82.1
2017-05-01,32.3,47.0,79.3
2017-05-02,74.6,33.5,108.1
2017-05-03,34.9,26.0,60.9
2017-05-04,59.2,9.5,68.7
2017-05-05,30.6,33.0,63.6
2017-05-06,80.0,40.0,120.0
2017-05-07,116.39999999999999,27.5,143.89999999999998
2017-05-08,35.4,16.0,51.400000000000006
2017-05-09,76.89999999999999,22.0,98.89999999999999
2017-05-10,47.5,16.5,64.0
2017-05-11,57.300000000000004,10.0,67.30000000000001
2017-05-12,31.500000000000004,78.0,109.5
2017-05-13,58.2,27.5,85.7
2017-05-14,44.3,49.0,93.3
2017-05-15,77.89999999999999,21.0,98.89999999999999
2017-05-16,57.9,47.5,105.4
2017-05-17,31.900000000000002,8.5,40.4
2017-05-18,26.0,46.5,72.5
2017-05-19,67.9,76.5,144.4
2017-05-20,61.0,55.5,116.5
2017-05-21,98.60000000000001,62.0,160.60000000000002
2017-05-22,99.4,78.0,177.4
2017-05-23,114.89999999999999,68.0,182.9
2017-05-24,93.0,66.3,159.3
2017-05-25,95.0,81.0,176.0
2017-05-26,76.3,75.0,151.3
2017-05-27,65.0,69.8,134.8
2017-05-28,91.3,39.3,130.60000000000002
2017-05-29,76.9,53.0,129.9
2017-05-30,119.8,69.8,189.60000000000002
2017-06-01,157.29999999999998,146.3,303.6
2017-06-02,97.0,178.0,275.00000000000006
2017-06-03,74.0,130.7,204.7
2017-06-04,152.09999999999997,274.0,426.1
2017-06-05,100.2,210.8,311.00000000000006
2017-06-06,75.5,72.0,147.5
2017-06-07,86.39999999999999,72.5,158.9
2017-06-08,69.89999999999999,115.5,185.40000000000003
2017-06-09,87.5,98.8,186.3
2017-06-10,94.2,97.5,191.7
2017-06-11,82.0,76.0,158.0
2017-06-12,73.7,76.3,150.0
2017-06-13,32.8,65.5,98.3
2017-06-14,89.1,54.5,143.6
2017-06-15,89.8,59.5,149.29999999999998
2017-06-16,68.1,109.6,177.7
2017-06-17,98.8,97.1,195.9
