,实际金额,实际金额,实际金额
大类,非饮料,饮料,All
支付时间,,,
2017-01-01,0.0,13.5,13.5
2017-01-02,9.0,26.5,35.5
2017-01-03,11.3,17.5,28.8
2017-01-04,13.3,2.5,15.8
2017-01-05,3.1,12.5,15.6
2017-01-06,2.5,8.0,10.5
2017-01-07,7.5,0.0,7.5
2017-01-08,51.5,122.0,173.5
2017-01-09,77.3,294.5,371.8
2017-01-10,107.19999999999999,156.3,263.5
2017-01-11,16.0,31.0,47.0
2017-01-15,8.0,0.0,8.0
2017-01-16,14.1,7.5,21.6
2017-01-17,27.0,5.0,32.0
2017-01-19,0.0,4.0,4.0
2017-01-20,0.0,2.5,2.5
2017-01-22,3.0,2.5,5.5
2017-01-23,6.0,13.0,19.0
2017-01-26,0.0,6.0,6.0
2017-01-27,9.0,9.0,18.0
2017-01-29,12.5,7.5,20.0
2017-01-30,95.0,50.0,145.0
2017-01-31,30.0,79.0,109.0
2017-02-01,2.0,50.5,52.5
2017-02-02,5.5,53.0,58.5
2017-02-03,12.0,14.0,26.0
2017-02-04,6.0,61.5,67.5
2017-02-05,10.0,53.0,63.0
2017-02-07,15.0,10.0,25.0
2017-02-08,1.5,16.5,18.0
2017-02-09,1.0,8.0,9.0
2017-02-12,0.0,5.5,5.5
2017-02-13,0.0,4.0,4.0
2017-02-15,10.0,16.5,26.5
2017-02-16,0.0,8.0,8.0
2017-02-17,4.8,9.5,14.3
2017-02-18,1.0,7.0,8.0
2017-02-19,3.0,11.5,14.5
2017-02-20,0.0,19.5,19.5
2017-02-21,3.0,4.0,7.0
2017-02-22,4.0,32.0,36.0
2017-02-23,4.0,15.0,19.0
2017-02-24,6.0,28.5,34.5
2017-02-25,1.5,21.0,22.5
2017-02-26,3.0,24.0,27.0
2017-02-27,1.0,28.0,29.0
2017-02-28,1.5,6.0,7.5
2017-03-03,0.0,3.5,3.5
2017-03-21,0.0,7.0,7.0
2017-03-28,56.5,179.0,235.5
2017-03-29,32.1,248.5,280.6
2017-03-30,117.89999999999999,168.0,285.90000000000003
2017-03-31,63.400000000000006,82.0,145.4
2017-04-01,71.7,169.60000000000002,241.3
2017-04-02,43.300000000000004,15.5,58.800000000000004
2017-04-03,17.0,20.0,37.0
2017-04-04,3.2,16.0,19.2
2017-04-05,1.0,22.5,23.5
2017-04-06,3.6,15.0,18.6
2017-04-07,0.0,20.0,20.0
2017-04-08,5.5,12.0,17.5
2017-04-09,0.0,38.5,38.5
2017-04-10,16.5,28.5,45.0
2017-04-11,5.5,36.0,41.5
2017-04-12,15.5,40.8,56.3
2017-04-13,28.5,31.5,60.0
2017-04-14,27.5,42.0,69.5
2017-04-15,16.3,159.0,175.3
2017-04-16,35.2,48.5,83.7
2017-04-17,40.3,70.0,110.3
2017-04-18,53.699999999999996,50.0,103.69999999999999
2017-04-19,18.3,68.5,86.8
2017-04-20,34.6,50.0,84.6
2017-04-21,44.400000000000006,52.5,96.9
2017-04-22,51.5,78.5,130.0
2017-04-23,83.3,58.5,141.8
2017-04-24,35.4,81.0,116.4
2017-04-25,22.3,70.0,92.3
2017-04-26,35.3,41.0,76.3
2017-04-27,27.0,87.5,114.5
2017-04-28,30.0,67.3,97.3
2017-04-29,69.8,57.5,127.3
2017-04-30,19.5,54.0,73.5
2017-05-01,41.2,75.5,116.7
2017-05-02,15.5,24.0,39.5
2017-05-03,54.599999999999994,27.0,81.6
2017-05-04,12.8,16.0,28.8
2017-05-05,41.7,27.5,69.2
2017-05-06,46.5,20.5,67.0
2017-05-07,48.3,21.5,69.8
2017-05-08,35.0,22.5,57.5
2017-05-09,47.4,56.0,103.39999999999999
2017-05-10,47.8,47.5,95.3
2017-05-11,38.8,33.5,72.3
2017-05-12,12.0,72.5,84.5
2017-05-13,40.5,29.5,70.0
2017-05-14,41.199999999999996,30.5,71.7
2017-05-15,33.5,30.5,64.0
2017-05-16,40.099999999999994,15.5,55.599999999999994
2017-05-17,42.5,44.5,87.0
2017-05-18,50.900000000000006,39.0,89.9
2017-05-19,114.1,88.0,202.1
2017-05-20,59.7,64.0,123.69999999999999
2017-05-21,64.6,126.8,191.39999999999998
2017-05-22,89.7,148.0,237.7
2017-05-23,60.7,107.5,168.2
2017-05-24,56.300000000000004,98.0,154.29999999999998
2017-05-25,161.20000000000002,36.5,197.70000000000002
2017-05-26,100.39999999999999,128.5,228.9
2017-05-27,71.5,106.0,177.5
2017-05-28,71.2,125.0,196.2
2017-05-29,99.69999999999999,146.0,245.70000000000002
2017-05-30,91.2,142.8,234.00000000000003
2017-06-01,106.3,233.5,339.8
2017-06-02,149.9,242.5,392.4
2017-06-03,66.3,167.0,233.3
2017-06-04,223.70000000000002,323.0,546.7
2017-06-05,166.00000000000003,232.5,398.49999999999994
2017-06-06,134.3,189.5,323.79999999999995
2017-06-07,139.5,203.50000000000003,343.00000000000006
2017-06-08,60.4,140.1,200.5
2017-06-09,147.6,96.0,243.6
2017-06-10,74.8,72.3,147.1
2017-06-11,99.0,82.8,181.8
2017-06-12,104.9,103.5,208.4
2017-06-13,98.89999999999999,64.1,163.0
2017-06-14,37.9,55.8,93.7
2017-06-15,93.7,65.1,158.8
2017-06-16,98.3,74.5,172.8
2017-06-17,146.0,75.8,221.80000000000004
2017-06-18,121.89999999999999,92.0,213.9
