,实际金额,实际金额,实际金额
大类,非饮料,饮料,All
支付时间,,,
2017-01-01,9.5,6.0,15.5
2017-01-02,18.4,21.5,39.9
2017-01-03,9.4,10.5,19.9
2017-01-04,18.5,3.0,21.5
2017-01-05,0.0,3.5,3.5
2017-01-07,4.0,3.0,7.0
2017-01-08,51.800000000000004,25.5,77.3
2017-01-09,114.8,119.3,234.09999999999997
2017-01-10,123.99999999999999,144.0,268.0
2017-01-11,23.6,15.0,38.6
2017-01-13,0.0,2.5,2.5
2017-01-15,4.5,0.0,4.5
2017-01-16,8.0,10.0,18.0
2017-01-17,0.0,3.0,3.0
2017-01-20,10.0,0.0,10.0
2017-01-22,0.0,17.0,17.0
2017-01-23,0.0,3.5,3.5
2017-01-26,4.5,4.0,8.5
2017-01-27,4.5,4.0,8.5
2017-01-28,0.0,6.0,6.0
2017-01-29,9.9,7.5,17.4
2017-01-30,46.7,34.5,81.2
2017-01-31,14.5,36.5,51.0
2017-02-01,6.0,26.0,32.0
2017-02-02,23.5,35.0,58.5
2017-02-03,0.0,13.0,13.0
2017-02-04,5.0,36.0,41.0
2017-02-05,8.5,45.0,53.5
2017-02-07,14.0,14.5,28.5
2017-02-08,0.0,11.0,11.0
2017-02-10,0.0,6.0,6.0
2017-02-11,0.0,7.0,7.0
2017-02-14,2.0,0.0,2.0
2017-02-15,3.0,0.0,3.0
2017-02-16,1.0,29.5,30.5
2017-02-17,1.0,19.0,20.0
2017-02-18,0.0,20.5,20.5
2017-02-19,0.0,16.0,16.0
2017-02-20,0.0,10.0,10.0
2017-02-21,3.5,3.0,6.5
2017-02-22,0.0,10.0,10.0
2017-02-23,0.0,10.0,10.0
2017-02-24,1.0,9.5,10.5
2017-02-25,0.0,8.0,8.0
2017-02-26,3.0,0.0,3.0
2017-02-27,3.0,29.0,32.0
2017-02-28,0.0,3.0,3.0
2017-03-28,6.6,94.0,100.6
2017-03-29,65.5,123.0,188.5
2017-03-30,72.4,157.5,229.9
2017-03-31,178.7,129.0,307.70000000000005
2017-04-01,46.6,119.0,165.6
2017-04-02,5.3,10.5,15.8
2017-04-03,23.0,15.0,38.0
2017-04-04,1.0,3.0,4.0
2017-04-05,2.5,13.5,16.0
2017-04-06,6.8,14.5,21.3
2017-04-07,5.0,8.5,13.5
2017-04-08,16.5,13.0,29.5
2017-04-09,12.8,27.5,40.3
2017-04-10,7.0,21.0,28.0
2017-04-11,18.0,48.5,66.5
2017-04-12,9.0,38.5,47.5
2017-04-13,35.0,34.5,69.5
2017-04-14,28.4,30.0,58.4
2017-04-15,15.5,40.0,55.5
2017-04-16,7.1,37.0,44.1
2017-04-17,44.3,61.5,105.8
2017-04-18,21.3,30.0,51.300000000000004
2017-04-19,20.0,45.0,65.0
2017-04-20,23.6,47.5,71.1
2017-04-21,17.6,35.5,53.1
2017-04-22,12.5,35.0,47.5
2017-04-23,43.5,38.5,82.0
2017-04-24,10.5,26.0,36.5
2017-04-25,18.9,25.0,43.9
2017-04-26,11.8,40.0,51.8
2017-04-27,54.8,50.0,104.8
2017-04-28,52.3,34.5,86.8
2017-04-29,28.0,55.0,83.0
2017-04-30,32.5,50.5,83.0
2017-05-01,22.0,44.0,66.0
2017-05-02,32.3,36.5,68.8
2017-05-03,25.400000000000002,31.0,56.400000000000006
2017-05-04,42.400000000000006,12.0,54.4
2017-05-05,42.2,25.8,68.0
2017-05-06,57.7,23.0,80.7
2017-05-07,59.199999999999996,22.0,81.2
2017-05-08,28.0,37.0,65.0
2017-05-09,13.0,41.0,54.0
2017-05-10,37.5,22.0,59.5
2017-05-11,40.9,28.5,69.4
2017-05-12,60.800000000000004,49.0,109.8
2017-05-13,20.8,18.5,39.3
2017-05-14,9.1,0.0,9.1
2017-05-15,25.5,20.5,46.0
2017-05-16,30.0,8.5,38.5
2017-05-17,35.1,10.0,45.1
2017-05-18,18.7,33.0,51.7
2017-05-19,46.300000000000004,69.0,115.3
2017-05-20,60.9,62.0,122.9
2017-05-21,51.3,25.5,76.8
2017-05-22,66.9,36.0,102.9
2017-05-23,77.1,35.5,112.6
2017-05-24,37.8,51.5,89.3
2017-05-25,27.1,76.5,103.6
2017-05-26,93.1,63.0,156.1
2017-05-27,86.89999999999999,36.0,122.89999999999999
2017-05-28,84.0,47.0,131.0
2017-05-29,39.7,25.0,64.7
2017-05-30,53.6,77.5,131.1
2017-06-01,124.49999999999999,126.0,250.5
2017-06-02,52.10000000000001,88.5,140.6
2017-06-03,87.5,69.0,156.5
2017-06-04,162.29999999999998,94.5,256.80000000000007
2017-06-05,56.6,107.8,164.39999999999998
2017-06-06,48.699999999999996,55.0,103.7
2017-06-07,78.39999999999999,63.5,141.9
2017-06-08,48.4,61.5,109.89999999999999
2017-06-09,85.39999999999999,62.0,147.4
2017-06-10,86.69999999999999,47.0,133.7
2017-06-11,108.9,87.0,195.89999999999998
2017-06-12,64.6,51.0,115.6
2017-06-13,50.0,29.5,79.5
2017-06-14,60.3,33.0,93.3
2017-06-15,46.199999999999996,65.0,111.19999999999999
2017-06-16,76.3,49.5,125.8
2017-06-17,80.69999999999999,74.5,155.2
2017-06-18,66.1,26.5,92.6
2017-06-19,92.5,25.5,118.0
2017-06-20,69.6,56.5,126.1
2017-06-21,43.099999999999994,57.0,100.1
2017-06-22,76.9,107.0,183.9
