,实际金额,实际金额,实际金额
大类,非饮料,饮料,All
支付时间,,,
2017-01-01,25.0,17.0,42.0
2017-01-02,9.0,49.4,58.4
2017-01-03,23.0,46.4,69.4
2017-01-04,14.0,142.5,156.5
2017-01-05,18.5,14.5,33.0
2017-01-06,3.5,0.0,3.5
2017-01-07,3.0,14.0,17.0
2017-01-08,41.8,118.0,159.8
2017-01-09,88.1,355.5,443.6000000000001
2017-01-10,46.599999999999994,174.3,220.89999999999998
2017-01-11,10.5,3.0,13.5
2017-01-12,0.0,7.5,7.5
2017-01-13,0.0,4.0,4.0
2017-01-14,6.0,2.0,8.0
2017-01-15,10.8,0.0,10.8
2017-01-16,15.0,27.5,42.5
2017-01-17,2.2,3.5,5.7
2017-01-20,2.4,0.0,2.4
2017-01-21,9.0,4.0,13.0
2017-01-22,1.5,5.5,7.0
2017-01-25,5.0,22.0,27.0
2017-01-26,6.0,10.0,16.0
2017-01-27,0.0,5.0,5.0
2017-01-28,1.8,23.0,24.8
2017-01-29,41.5,25.0,66.5
2017-01-30,59.5,79.0,138.5
2017-01-31,12.0,48.5,60.5
2017-02-01,19.0,81.5,100.5
2017-02-02,9.5,56.0,65.5
2017-02-03,18.5,35.5,54.0
2017-02-04,8.0,46.5,54.5
2017-02-05,10.5,36.2,46.7
2017-02-07,0.0,4.0,4.0
2017-02-08,4.5,22.0,26.5
2017-02-10,0.0,7.5,7.5
2017-02-11,0.0,22.5,22.5
2017-02-12,3.5,33.0,36.5
2017-02-13,3.5,10.5,14.0
2017-02-14,3.5,17.5,21.0
2017-02-15,3.5,28.0,31.5
2017-02-16,7.0,7.0,14.0
2017-02-17,8.0,21.0,29.0
2017-02-18,4.5,19.0,23.5
2017-02-19,66.9,50.1,117.0
2017-02-20,6.0,21.5,27.5
2017-02-21,0.0,37.0,37.0
2017-02-22,4.0,36.5,40.5
2017-02-23,6.0,48.5,54.5
2017-02-24,0.0,19.5,19.5
2017-02-25,0.0,33.0,33.0
2017-02-26,0.0,6.0,6.0
2017-02-27,10.0,28.5,38.5
2017-02-28,0.0,14.0,14.0
2017-03-01,0.0,3.0,3.0
2017-03-03,6.5,5.5,12.0
2017-03-12,1.0,3.0,4.0
2017-03-28,7.0,167.0,174.0
2017-03-29,107.1,458.0,565.1
2017-03-30,149.10000000000002,391.5,540.6
2017-03-31,128.8,79.5,208.3
2017-04-01,105.8,132.0,237.8
2017-04-02,24.7,24.0,48.7
2017-04-03,21.5,31.5,53.0
2017-04-04,7.0,23.5,30.5
2017-04-05,24.8,24.5,49.3
2017-04-06,10.0,48.8,58.8
2017-04-07,1.5,20.5,22.0
2017-04-08,25.0,63.2,88.2
2017-04-09,14.0,33.0,47.0
2017-04-10,26.5,40.5,67.0
2017-04-11,23.5,30.0,53.5
2017-04-12,31.4,42.0,73.4
2017-04-13,20.5,122.0,142.5
2017-04-14,18.0,109.8,127.8
2017-04-15,46.0,84.5,130.5
2017-04-16,98.89999999999999,73.0,171.9
2017-04-17,50.8,114.0,164.8
2017-04-18,78.8,121.0,199.8
2017-04-19,97.5,144.5,242.0
2017-04-20,82.8,87.0,169.8
2017-04-21,36.8,124.2,161.0
2017-04-22,87.3,52.8,140.10000000000002
2017-04-23,20.1,64.3,84.39999999999999
2017-04-24,13.5,65.3,78.8
2017-04-25,71.8,115.6,187.4
2017-04-26,51.7,64.5,116.19999999999999
2017-04-27,54.9,76.0,130.9
2017-04-28,96.3,109.0,205.29999999999998
2017-04-29,54.5,178.5,233.0
2017-04-30,77.69999999999999,130.0,207.70000000000002
2017-05-01,45.9,144.5,190.4
2017-05-02,70.4,93.3,163.70000000000002
2017-05-03,44.4,46.1,90.49999999999999
2017-05-04,60.2,93.0,153.2
2017-05-05,51.5,86.5,138.0
2017-05-06,96.9,91.5,188.4
2017-05-07,46.8,77.5,124.3
2017-05-08,27.2,56.5,83.7
2017-05-09,48.5,68.0,116.5
2017-05-10,45.9,40.0,85.9
2017-05-11,29.1,71.5,100.60000000000001
2017-05-12,61.1,54.9,116.0
2017-05-13,70.0,57.5,127.5
2017-05-14,44.2,58.0,102.2
2017-05-15,68.0,46.0,114.0
2017-05-16,38.0,68.7,106.7
2017-05-17,80.5,54.5,135.0
2017-05-18,86.0,103.8,189.8
2017-05-19,173.9,126.7,300.6
2017-05-20,119.0,72.5,191.5
2017-05-21,140.3,108.8,249.10000000000002
2017-05-22,136.0,133.0,269.0
2017-05-23,89.5,220.3,309.8
2017-05-24,95.9,150.0,245.89999999999998
2017-05-25,106.10000000000001,133.1,239.20000000000002
2017-05-26,128.9,246.8,375.7
2017-05-27,91.8,120.8,212.6
2017-05-28,154.6,145.39999999999998,300.0
2017-05-29,135.3,242.0,377.3
2017-05-30,115.9,186.0,301.90000000000003
2017-06-01,171.5,313.0,484.50000000000006
2017-06-02,99.8,309.2,409.0
2017-06-03,72.2,273.90000000000003,346.1000000000001
2017-06-04,242.60000000000002,239.5,482.1
2017-06-05,132.5,192.3,324.8
2017-06-06,72.80000000000001,291.5,364.29999999999995
2017-06-07,124.7,272.6000000000001,397.3000000000001
2017-06-08,144.2,201.0,345.20000000000005
2017-06-09,154.5,109.5,264.0
2017-06-10,96.19999999999999,334.0,430.2000000000001
2017-06-11,79.6,242.5,322.09999999999997
2017-06-12,127.5,175.0,302.5
